"Location","Vel_dir","Height","H_m","Width","Source","direction.deg","payload","Distance_m","Nom_WS"
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 20m 1.5m-s",7.02116045512966,2,20,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 20m 1.5m-s",0.251205607659066,2,20,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 20m 1.5m-s",349.288604027079,2,20,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 20m 1.5m-s",358.3212253339,2,20,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 20m 1.5m-s",0.652280735179028,2,20,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 20m 1.5m-s",0.561570841236486,2,20,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 20m 1.5m-s",352.626247409339,2,20,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 20m 1.5m-s",2.29070659466722,2,20,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 20m 1.5m-s",8.11516925866779,2,20,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 20m 3m-s",18.9455651715379,2,20,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 20m 3m-s",2.55798412841832,2,20,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 20m 3m-s",338.914201571697,2,20,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 20m 3m-s",347.740130062533,2,20,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 20m 3m-s",0.701692072920048,2,20,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 20m 3m-s",4.23179528493435,2,20,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 20m 3m-s",343.805906104691,2,20,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 20m 3m-s",359.004518114515,2,20,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 20m 3m-s",15.7749949886679,2,20,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 20 4.5m-s",14.6967510382828,2,20,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 20 4.5m-s",1.05877376783006,2,20,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 20 4.5m-s",340.273687484944,2,20,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 20 4.5m-s",1.88868523555937,2,20,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 20 4.5m-s",1.6488925103926,2,20,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 20 4.5m-s",356.938791509362,2,20,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 20 4.5m-s",338.879059122929,2,20,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 20 4.5m-s",359.494531392033,2,20,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 20 4.5m-s",16.1155229273416,2,20,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 16m 1.5m-s",8.02248239729241,2,16,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 16m 1.5m-s",359.283291423804,2,16,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 16m 1.5m-s",349.571799122658,2,16,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 16m 1.5m-s",1.49328407822486,2,16,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 16m 1.5m-s",3.90751651677406,2,16,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 16m 1.5m-s",357.62030457915,2,16,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 16m 1.5m-s",351.811011671476,2,16,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 16m 1.5m-s",5.20959289944238,2,16,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 16m 1.5m-s",9.81537946280234,2,16,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 16m 3m-s",18.5177741163198,2,16,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 16m 3m-s",4.21934654892104,2,16,3
