Distance,Nozzle_DSD,Volume,WS.m_s,WS.meas,Temp.C,RH,Rep,TestID,Dep_flux
-3,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,485.2266667
-2,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,2488.48
-1,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,11370.13333
0,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,249484.8
1,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,190357.8667
2,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,29495.46667
3,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,3467.36
4,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,988.528
5,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,488.6506667
6,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,370.1706667
8,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,365.1434667
12,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,292.0005333
16,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,149.6432
20,XR11001 (fine),2,1.5,325,23,65.1,T1-T3,T1,64.9744
-3,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,21.21706667
-2,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,2387.690667
-1,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,16086.45333
0,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,95754.13333
1,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,172097.0667
2,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,34188.26667
3,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,5831.786667
4,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,1633.648
5,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,929.1253333
6,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,588.7626667
8,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,413.6362667
12,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,294.1216
16,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,144.0224
20,XR11001 (fine),2,1.5,315,25.2,64.2,T1-T3,T2,66.51466667
-3,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,646.5226667
-2,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,3317.28
-1,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,13601.06667
0,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,132026.6667
1,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,164987.2
2,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,21044.32
3,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,1592.533333
4,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,759.648
5,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,478.9413333
6,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,302.4090667
8,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,323.9141333
12,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,359.8976
16,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,200.6634667
20,XR11001 (fine),2,1.5,304,26.8,62.6,T1-T3,T3,66.17813333
-3,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,0.0304
-2,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,0.558933333
-1,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,1066.698667
0,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,73517.86667
1,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,120496.5333
2,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,12006.24
3,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,7537.813333
4,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,1445.632
5,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,167.408
6,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,87.06986667
8,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,317.7466667
12,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,673.1626667
16,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,121.0912
20,TT11001 (medium),2,3,591,30,46.4,T7-T9,T7,74.8368
-3,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,0.010133333
-2,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,0.0256
-1,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,1067.754667
0,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,69483.73333
1,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,119142.9333
2,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,471.488
3,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,12119.57333
4,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,19673.49333
5,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,119.6053333
6,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,786.6986667
8,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,366.2618667
12,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,450.2997333
16,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,147.5770667
20,TT11001 (medium),2,3,590,30.7,45.6,T7-T9,T8,76.4784
-3,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,0.136
-2,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,0.0592
-1,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,2296.101333
0,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,169403.2
1,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,128810.6667
2,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,7471.573333
3,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,5208.106667
4,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,1167.205333
5,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,357.2853333
6,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,175.4549333
8,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,309.6917333
12,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,741.9093333
16,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,112.9701333
20,TT11001 (medium),2,3,582,30.9,43.8,T7-T9,T9,67.368
-3,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,0.696533333
-2,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,1.083733333
-1,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,40.03893333
0,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,363.264
1,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,6008.32
2,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,10973.17333
3,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,2057.722667
4,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,218.1546667
5,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,166.1712
6,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,343.5552
8,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,477.7306667
12,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,157.048
16,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,584.9973333
20,XR11001 (fine),2,4.5,855,28,70,T10-T12,T10,152.9392
-3,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,0.083733333
-2,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,0.0128
-1,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,20.672
0,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,1040.986667
1,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,18308.48
2,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,24989.76
3,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,5849.066667
4,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,972.4906667
5,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,858.7946667
6,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,1134.597333
8,XR11001 (fine),2,4.5,890,28.6,68.4,T10-T12,T11,1013.322667
