Nozzle,Condition,rep,Dv10,Dv50,Dv90
XR (fine),Rotor off,1,89.8,141.9,251.2
XR (fine),Rotor off,2,76.2,136.7,222.3
XR (fine),Rotor off,3,82.1,137.4,252.2
XR (fine),"On, 2L",1,83.4,151.5,233.5
XR (fine),"On, 2L",2,82.4,148.3,225.3
XR (fine),"On, 2L",3,82.8,144.2,229.1
XR (fine),"On, 10L",1,87.6,153.4,237.2
XR (fine),"On, 10L",2,88.7,155.2,241.4
XR (fine),"On, 10L",3,87.9,154.0,240.9
TTI (medium),Rotor off,1,108.5,229.4,458.1
TTI (medium),Rotor off,2,107.3,246.2,515.5
TTI (medium),Rotor off,3,11.8,255.1,532.5
TTI (medium),"On, 2L",1,181.6,333.7,539.0
TTI (medium),"On, 2L",2,187.3,346.7,521.2
TTI (medium),"On, 2L",3,178.6,323.2,520.5
TTI (medium),"On, 10L",1,186.3,337.6,528.7
TTI (medium),"On, 10L",2,189.4,353.2,534.9
TTI (medium),"On, 10L",3,169.1,319.0,516.4
IDK (coarse),Rotor off,1,157.0,473.2,856.3
IDK (coarse),Rotor off,2,185.4,475.7,798.9
IDK (coarse),Rotor off,3,188.9,479.9,824.9
IDK (coarse),"On, 2L",1,234.7,467.0,730.1
IDK (coarse),"On, 2L",2,240.0,498.8,797.2
IDK (coarse),"On, 2L",3,244.6,481.5,771.0
IDK (coarse),"On, 10L",1,246.6,476.6,760.4
IDK (coarse),"On, 10L",2,239.5,470.1,745.1
IDK (coarse),"On, 10L",3,241.8,465.8,741.7
